,,,
Rank,Name,Team,Position
1,Christian McCaffrey,CAR,RB
2,Dalvin Cook,MIN,RB
3,Ezekiel Elliott,DAL,RB
4,Alvin Kamara,NO,RB
5,Aaron Jones,GB,RB
6,Davante Adams,GB,WR
7,Derrick Henry,TEN,RB
8,Tyreek Hill,KC,WR
9,Travis Kelce,KC,TE
10,Saquon Barkley,NYG,RB
11,Austin Ekeler,LAC,RB
12,Stefon Diggs,BUF,WR
13,Calvin Ridley,ATL,WR
14,Nick Chubb,CLE,RB
15,Joe Mixon,CIN,RB
16,Najee Harris,PIT,RB
17,Antonio Gibson,WAS,RB
18,Darren Waller,LV,TE
19,DeAndre Hopkins,ARI,WR
20,Justin Jefferson,MIN,WR
21,Jonathan Taylor,IND,RB
22,George Kittle,SF,TE
23,Keenan Allen,LAC,WR
24,Clyde Edwards-Helaire,KC,RB
25,A.J. Brown,TEN,WR
26,D.K. Metcalf,SEA,WR
27,Allen Robinson II,CHI,WR
28,Terry McLaurin,WAS,WR
29,CeeDee Lamb,DAL,WR
30,Amari Cooper,DAL,WR
31,Chris Carson,SEA,RB
32,D'Andre Swift,DET,RB
33,Chris Godwin,TB,WR
34,Diontae Johnson,PIT,WR
35,Robert Woods,LAR,WR
36,D.J. Moore,CAR,WR
37,Julio Jones,TEN,WR
38,Tyler Lockett,SEA,WR
39,Cooper Kupp,LAR,WR
40,Mike Evans,TB,WR
41,Tee Higgins,CIN,WR
42,David Montgomery,CHI,RB
43,Miles Sanders,PHI,RB
44,Patrick Mahomes II,KC,QB
45,James Robinson,JAC,RB
46,T.J. Hockenson,DET,TE
47,Josh Allen,BUF,QB
48,Kyler Murray,ARI,QB
49,Mark Andrews,BAL,TE
50,Lamar Jackson,BAL,QB
51,Gus Edwards,BAL,RB
52,Josh Jacobs,LV,RB
53,Tyler Boyd,CIN,WR
54,Brandon Aiyuk,SF,WR
55,Chase Claypool,PIT,WR
56,Courtland Sutton,DEN,WR
57,Kyle Pitts,ATL,TE
58,Jerry Jeudy,DEN,WR
59,Ja'Marr Chase,CIN,WR
60,Adam Thielen,MIN,WR
61,Kenny Golladay,NYG,WR
62,Odell Beckham Jr.,CLE,WR
63,Javonte Williams,DEN,RB
64,Chase Edmonds,ARI,RB
65,Damien Harris,NE,RB
66,Darrell Henderson,LAR,RB
67,Raheem Mostert,SF,RB
68,Trey Sermon,SF,RB
69,Dak Prescott,DAL,QB
70,Russell Wilson,SEA,QB
71,Justin Herbert,LAC,QB
72,Mike Davis,ATL,RB
73,Brandin Cooks,HOU,WR
74,Robby Anderson,CAR,WR
75,Laviska Shenault Jr.,JAC,WR
76,DeVonta Smith,PHI,WR
77,Myles Gaskin,MIA,RB
78,Antonio Brown,TB,WR
79,Corey Davis,NYJ,WR
80,JuJu Smith-Schuster,PIT,WR
81,Michael Gallup,DAL,WR
82,Mike Williams,LAC,WR
83,D.J. Chark Jr.,JAC,WR
84,Jaylen Waddle,MIA,WR
85,Kareem Hunt,CLE,RB
86,Marvin Jones Jr.,JAC,WR
87,Will Fuller V,MIA,WR
88,Ronald Jones II,TB,RB
89,Jalen Hurts,PHI,QB
90,Noah Fant,DEN,TE
91,Logan Thomas,WAS,TE
92,Aaron Rodgers,GB,QB
93,Ryan Tannehill,TEN,QB
94,Tom Brady,TB,QB
95,Joe Burrow,CIN,QB
96,Deebo Samuel,SF,WR
97,Curtis Samuel,WAS,WR
98,Darnell Mooney,CHI,WR
99,Sterling Shepard,NYG,WR
100,Zack Moss,BUF,RB
101,Jakobi Meyers,NE,WR
102,Jamaal Williams,DET,RB
103,Michael Pittman Jr.,IND,WR
104,Jarvis Landry,CLE,WR
105,Melvin Gordon III,DEN,RB
106,AJ Dillon,GB,RB
107,Michael Carter,NYJ,RB
108,Leonard Fournette,TB,RB
109,Kenyan Drake,LV,RB
110,James Conner,ARI,RB
111,Justin Fields,CHI,QB
112,Sony Michel,LAR,RB
113,Tony Pollard,DAL,RB
114,Marquez Callaway,NO,WR
115,Elijah Moore,NYJ,WR
116,Terrace Marshall Jr.,CAR,WR
117,Trey Lance,SF,QB
118,Trevor Lawrence,JAC,QB
119,Hunter Henry,NE,TE
120,Jonnu Smith,NE,TE
121,Mike Gesicki,MIA,TE
122,Dallas Goedert,PHI,TE
123,Matthew Stafford,LAR,QB
124,Nyheim Hines,IND,RB
125,James White,NE,RB
126,Tevin Coleman,NYJ,RB
127,Marquise Brown,BAL,WR
128,Cole Beasley,BUF,WR
129,Bryan Edwards,LV,WR
130,Mecole Hardman,KC,WR
131,Rondale Moore,ARI,WR
132,Gabriel Davis,BUF,WR
133,Emmanuel Sanders,BUF,WR
134,Nelson Agholor,NE,WR
135,Michael Thomas,NO,WR
136,Randall Cobb,GB,WR
137,Nico Collins,HOU,WR
138,Robert Tonyan,GB,TE
139,Evan Engram,NYG,TE
140,Ty Johnson,NYJ,RB
141,Austin Hooper,CLE,TE
142,Gerald Everett,SEA,TE
143,Rhamondre Stevenson,NE,RB
144,Matt Ryan,ATL,QB
145,Baker Mayfield,CLE,QB
146,Parris Campbell,IND,WR
147,DeVante Parker,MIA,WR
148,Tua Tagovailoa,MIA,QB
