,,,,,,
Rank,Name,Team,Pos,Bye,,
1,Christian McCaffrey,CAR,RB,13,,
2,Dalvin Cook,MIN,RB,7,,
3,Derrick Henry,TEN,RB,13,,
4,Alvin Kamara,NO,RB,6,,
5,Ezekiel Elliott,DAL,RB,7,,
6,Aaron Jones,GB,RB,13,,
7,Davante Adams,GB,WR,13,,
8,Nick Chubb,CLE,RB,13,,
9,Travis Kelce,KC,TE,12,,
10,Austin Ekeler,LAC,RB,7,,
11,Tyreek Hill,KC,WR,12,,
12,Saquon Barkley,NYG,RB,10,,
13,Jonathan Taylor,IND,RB,14,,
14,Najee Harris,PIT,RB,7,,
15,Stefon Diggs,BUF,WR,7,,
16,Antonio Gibson,WAS,RB,9,,
17,Joe Mixon,CIN,RB,10,,
18,DeAndre Hopkins,ARI,WR,12,,
19,Calvin Ridley,ATL,WR,6,,
20,Clyde Edwards-Helaire,KC,RB,12,,
21,D.K. Metcalf,SEA,WR,9,,
22,Darren Waller,LV,TE,8,,
23,Pat Mahomes,KC,QB,12,,
24,Justin Jefferson,MIN,WR,7,,
25,Chris Carson,SEA,RB,9,,
26,A.J. Brown,TEN,WR,13,,
27,David Montgomery,CHI,RB,10,,
28,Keenan Allen,LAC,WR,7,,
29,James Robinson,JAX,RB,7,,
30,George Kittle,SF,TE,6,,
31,Terry McLaurin,WAS,WR,9,,
32,CeeDee Lamb,DAL,WR,7,,
33,Josh Jacobs,LV,RB,8,,
34,Allen Robinson,CHI,WR,10,,
35,Josh Allen,BUF,QB,7,,
36,D'Andre Swift,DET,RB,9,,
37,Miles Sanders,PHI,RB,14,,
38,Robert Woods,LAR,WR,11,,
39,Mike Evans,TB,WR,9,,
40,Mike Davis,ATL,RB,6,,
41,Kyler Murray,ARI,QB,12,,
42,Amari Cooper,DAL,WR,7,,
43,Darrell Henderson,LAR,RB,11,,
44,Myles Gaskin,MIA,RB,14,,
45,Kyle Pitts,ATL,TE,6,,
46,Chris Godwin,TB,WR,9,,
47,Julio Jones,TEN,WR,13,,
48,Cooper Kupp,LAR,WR,11,,
49,Lamar Jackson,BAL,QB,8,,
50,Kareem Hunt,CLE,RB,13,,
51,Diontae Johnson,PIT,WR,7,,
52,Raheem Mostert,SF,RB,6,,
53,Damien Harris,NE,RB,14,,
54,Tyler Lockett,SEA,WR,9,,
55,Mark Andrews,BAL,TE,8,,
56,Adam Thielen,MIN,WR,7,,
57,Gus Edwards,BAL,RB,8,,
58,Javonte Williams,DEN,RB,11,,
59,Brandon Aiyuk,SF,WR,6,,
60,T.J. Hockenson,DET,TE,9,,
61,D.J. Moore,CAR,WR,13,,
62,Chase Edmonds,ARI,RB,12,,
63,Dak Prescott,DAL,QB,7,,
64,Chase Claypool,PIT,WR,7,,
65,Aaron Rodgers,GB,QB,13,,
66,Tee Higgins,CIN,WR,10,,
67,Justin Herbert,LAC,QB,7,,
68,Trey Sermon,SF,RB,6,,
69,Jerry Jeudy,DEN,WR,11,,
70,Russell Wilson,SEA,QB,9,,
71,Michael Thomas,NO,WR,6,,
72,Logan Thomas,WAS,TE,9,,
73,Odell Beckham Jr,CLE,WR,13,,
74,Melvin Gordon,DEN,RB,11,,
75,Ronald Jones II,TB,RB,9,,
76,Tom Brady,TB,QB,9,,
77,Antonio Brown,TB,WR,9,,
78,Kenny Golladay,NYG,WR,10,,
79,Michael Carter,NYJ,RB,6,,
80,Ja'Marr Chase,CIN,WR,10,,
81,Courtland Sutton,DEN,WR,11,,
82,A.J. Dillon,GB,RB,13,,
83,DeVonta Smith,PHI,WR,14,,
84,Noah Fant,DEN,TE,11,,
85,Robby Anderson,CAR,WR,13,,
86,Zack Moss,BUF,RB,7,,
87,Matthew Stafford,LAR,QB,11,,
88,JuJu Smith-Schuster,PIT,WR,7,,
89,Laviska Shenault Jr.,JAX,WR,7,,
90,Deebo Samuel,SF,WR,6,,
91,Leonard Fournette,TB,RB,9,,
92,Robert Tonyan Jr.,GB,TE,13,,
93,Ryan Tannehill,TEN,QB,13,,
94,James Conner,ARI,RB,12,,
95,Dallas Goedert,PHI,TE,14,,
96,Jamaal Williams,DET,RB,9,,
97,Devin Singletary,BUF,RB,7,,
98,Tyler Boyd,CIN,WR,10,,
99,Michael Pittman Jr.,IND,WR,14,,
